protocol_type,service,flag,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,dst_host_count,dst_host_srv_count,class
tcp,smtp,SH,22.789032864838084,41.547106413963355,604.5675199836109,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,5,8,0.3349506020644101,0.4654164965021036,0.8858156221447676,0.6183527698652175,0.1571428682461904,0.8237253129363378,0.40470438574254264,0.347775228251465,0.37677865927552157,0.8898553072370752,0.19989851569530814,0.588810354128482,0.5751721418293035,0.6571188948965487,0.41132236592170024,59,19,normal
icmp,smtp,S0,18.568408917524778,1416.1825009152885,577.2755448727802,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7,5,0.06582615842149053,0.6565681534907438,0.6117523225311597,0.5398637572734049,0.9864233514678977,0.8848480708748374,0.49227626717822714,0.8836412628242765,0.3636763384433779,0.45020631024254165,0.12283315656182947,0.3787439696415891,0.7222640612726937,0.899859995523804,0.5346824453110093,60,32,normal
udp,http,RSTR,18.236410473042696,236.8242498360474,381.3161224603271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,4,0.17909970098131933,0.7024936437247465,0.8890404915291822,0.5678512309638534,0.6699989187080728,0.2696692538742851,0.07980569735716614,0.7094023764893066,0.9630121497086992,0.22388478090211317,0.9240816779464046,0.6179789384144768,0.5515498104659714,0.2816496716974888,0.9123854412295235,56,28,dos
tcp,ssh,S1,46.470915780997494,667.9888617631336,131.0637613345165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,10,0.4261424726403632,0.577945723276622,0.5865328026670065,0.5173790285190424,0.21413366796112276,0.0009471180230813392,0.9161885086114089,0.7028955154272218,0.941972706794883,0.8157294553510137,0.015489313982641417,0.4701341461516153,0.4971905444287308,0.5141621381416661,0.36206749292246754,55,31,normal
tcp,ftp,OTH,81.89392876184466,1188.2108361473026,119.03201563844371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0.013321198989794114,0.3765909275240159,0.8577301574078642,0.08574167002808408,0.004599355926363069,0.30943897233717055,0.24033523263780898,0.4826057059908896,0.9186102901384977,0.4720629330472186,0.8527755683497742,0.6751396229208766,0.2745187876685977,0.7238429887814094,0.6885202035724319,42,36,normal
tcp,other,SH,138.0473658946493,1423.283763878359,1036.948928572414,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,14,5,0.7148105874038386,0.14548222060641347,0.9528186650431568,0.13720550160316003,0.11984824755181789,0.054360288396102185,0.9121723907907762,0.24775147953237264,0.22422636039976795,0.6532115055966237,0.2699719650041179,0.7718816813082738,0.7363054675974031,0.3675516572400588,0.0321620269583468,49,28,u2r
tcp,http,RSTOS0,3.513638720167704,2190.0061636315017,64.30694176928446,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0.6743318651651973,0.6737881191203859,0.16544988159502116,0.1312580819911241,0.14835801778495072,0.01611284197265117,0.29159094126855845,0.7207182860312089,0.771713975841877,0.22184315252888975,0.6924527993526698,0.926764752791426,0.6925055673052306,0.2348709900425302,0.027865150677583772,49,33,dos
udp,ssh,OTH,16.285016471565964,332.1107636997748,409.6293349755652,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7,9,0.8600556993570222,0.8379431202880319,0.7739908093295088,0.6002994544848483,0.16974716597723183,0.714086853427916,0.24427407351436892,0.698248985187982,0.945720585682284,0.26791032378718616,0.5177856658529835,0.495354948027788,0.21167968921446167,0.4623425827808424,0.2445597265545888,53,24,r2l
tcp,telnet,S1,14.719477430818618,254.01552829169694,349.11506225763577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,5,0.5588553504401375,0.43671850935205014,0.8913888433216888,0.5854742501090818,0.46075409868046857,0.6013954634352964,0.9213145968063259,0.38698548862696025,0.7795633805379778,0.8792975513991955,0.6724130442864004,0.07365708582679587,0.2409707965996971,0.3774650425304287,0.31355708351736,44,31,r2l
udp,telnet,SF,22.114727889371302,5584.988583370435,800.7350967399765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0.3875889525738302,0.22319354341966724,0.41820926016162874,0.674162383394961,0.05042542655309368,0.7669605718154193,0.1477055663289949,0.8726274110341514,0.6618377579874921,0.07341101201167999,0.06712198458285434,0.6991643824703893,0.6680972872694005,0.08701318587211448,0.21909463530665674,59,44,normal
